L-point,Traj. no.,Candidate NEA (id.no. - Pdes),DVmin-TOF(km/s-day),,TOFmin-DV (day-km/s),,Dmin-E (km-deg),,Emin-D(deg-km),
1,5,31 - 2018 PN22 5,0.496,322,322,0.496,1305,7.66E-03,7.66E-03,1305
1,618,40 - 2020 HO5 618,0.296,563,461,0.435,44,4.34E-03,1.06E-06,13335
1,207,47 - 2021 GM1 207,0.321,579,459,0.495,273,2.06E-04,8.76E-05,16163
1,110,48 - 2021 LF6 110,0.331,548,426,0.495,1636,6.04E-03,6.60E-04,15283
2,188,36 - 2020 CD3 188,0.441,599,560,0.499,226,1.25E-03,4.01E-05,721
2,150,37 - 2020 FA1 150,0.364,618,532,0.477,543,2.17E-03,1.52E-04,4570
2,277,39 - 2020 HF4 277,0.326,620,495,0.490,317,3.97E-03,3.56E-05,9222
2,30,41 - 2020 MU1 30,0.463,597,543,0.497,1772,3.67E-03,4.89E-04,13825
2,373,44 - 2020 WY 373,0.259,592,458,0.486,13,4.03E-04,5.77E-05,4916
2,823,45 - 2021 AK5 823,0.150,690,553,0.490,169,9.68E-04,1.73E-05,2102
2,106,49 - 2021 RZ3 106,0.422,503,413,0.498,1010,5.13E-03,3.18E-05,15817
2,1161,50 - 2021 RG12 1161,0.060,469,310,0.484,25,2.21E-04,3.91E-06,1212
2,177,52 - 2021 VX22 177,0.429,370,347,0.497,155,9.50E-05,9.50E-05,155
